Quel est le plus petit nombre premier ?,1,2,3,2
Qui a proposé la théorie de la relativité générale ?,Isaac Newton,Albert Einstein,Niels Bohr,Albert Einstein
Quelle est la capitale de la Mongolie ?,Ulaanbaatar,Astana,Bishkek,Ulaanbaatar
Combien de temps met la lumière du Soleil pour atteindre la Terre ?,8 minutes et 20 secondes,10 minutes et 40 secondes,7 minutes et 50 secondes,8 minutes et 20 secondes
Quel est le plus grand lac d'Afrique ?,Lac Victoria,Lac Tanganyika,Lac Malawi,Lac Victoria
Qui a écrit "À la recherche du temps perdu" ?,Marcel Proust,Victor Hugo,Émile Zola,Marcel Proust
Quel est le symbole chimique du mercure ?,Hg,He,Hg,Au,Hg
Quelle est la distance entre la Terre et Mars la plus proche possible ?,54,6 millions de kilomètres,78,3 millions de kilomètres,401 millions de kilomètres,54,6 millions de kilomètres
Quel est le plus haut bâtiment du monde en 2021 ?,Shanghai Tower,Burj Khalifa,Abraj Al-Bait Clock Tower,Burj Khalifa
Quel est le plus ancien système d'écriture connu ?,Cunéiforme,Hiéroglyphes,Alphabet phénicien,Cunéiforme
Qui a découvert les anneaux de Saturne ?,Galilée,Kepler,Huygens,Huygens
Quelle est la plus ancienne civilisation connue ?,Sumériens,Égyptiens,Mayas,Sumériens
Quel est l'organe du corps humain qui utilise le plus d'oxygène ?,Cœur,Cerveau,Poumons,Cerveau
Qui a peint "Guernica" ?,Pablo Picasso,Salvador Dalí,Francisco Goya,Pablo Picasso
Quel est l'élément le plus abondant dans l'univers ?,Hydrogène,Hélium,Oxygène,Hydrogène
Quelle est la théorie dominante sur la création de l'univers ?,Théorie de la Terre plate,Théorie de la relativité,Théorie du Big Bang,Théorie du Big Bang
Quel est l'océan le plus profond ?,Océan Pacifique,Océan Atlantique,Océan Indien,Océan Pacifique
Quelle est la période de révolution de la planète Neptune ?,165 ans,88 ans,12 ans,165 ans
Quel est le plus grand désert chaud du monde ?,Sahara,Gobi,Kalahari,Sahara
Quel est l'auteur de "La République" ?,Aristote,Platon,Socrate,Platon
