Quelle est la capitale de la France ?,Berlin,Paris,Londres,Paris
Qui a écrit "Les Misérables" ?,Victor Hugo,Émile Zola,Jean-Paul Sartre,Victor Hugo
Quel est l'élément chimique avec le symbole O ?,Or,Oxydium,Oxygène,Oxygène
Quelle est la plus grande planète du système solaire ?,Terre,Jupiter,Mars,Jupiter
Quel artiste a peint la Joconde ?,Vincent van Gogh,Leonardo da Vinci,Claude Monet,Leonardo da Vinci
Quelle est la langue officielle du Brésil ?,Espagnol,Portugais,Français,Portugais
En quelle année a eu lieu la Révolution française ?,1789,1776,1804,1789
Quel est le plus grand océan de la Terre ?,Atlantique,Pacifique,Indien,Pacifique
Qui a découvert la pénicilline ?,Marie Curie,Alexander Fleming,Isaac Newton,Alexander Fleming
Quel est le symbole chimique de l'or ?,Au,Ag,Fe,Au
Quelle est la vitesse de la lumière ?,300 000 km/s,150 000 km/s,450 000 km/s,300 000 km/s
Quel est le plus long fleuve du monde ?,Amazone,Nile,Mississippi,Nile
Quel est l'organe le plus grand du corps humain ?,Cœur,Foie,Peau,Peau
Qui est le fondateur de Microsoft ?,Steve Jobs,Bill Gates,Elon Musk,Bill Gates
Quel est le nombre pi approximé à deux décimales ?,3.14,3.15,3.16,3.14
Quelle est la distance entre la Terre et le Soleil ?,150 millions de km,100 millions de km,200 millions de km,150 millions de km
Qui a écrit "Hamlet" ?,Charles Dickens,William Shakespeare,Mark Twain,William Shakespeare
Quel est le plus petit pays du monde ?,Monaco,Vatican,Luxembourg,Vatican
Quel est le plus grand désert du monde ?,Sahara,Arctique,Gobi,Sahara
Quel animal est connu comme le roi de la jungle ?,Tigre,Lion,Éléphant,Lion
